IRIS;P20_POP;P20_POP0014;P20_POP1529;P20_POP3044;P20_POP4559;P20_POP6074;P20_POP75P
352380902;4647.055675;546.2781154;1754.139109;1085.655145;600.3040709;406.9482124;253.7310227
351960102;1814.456024;306.1643169;262.1197753;276.9461014;373.2290778;373.0226293;222.9741236
352381203;2006.147036;594.8540391;380.7348738;424.0574281;308.6107491;208.9711905;88.91875571
352381002;2097.949536;161.2034825;952.0539782;142.2581683;213.1915286;277.7128388;351.52954
352381001;4229.139186;240.9424543;3252.775845;358.8347193;199.3358452;107.2646026;69.98571945
352450000;4085;938.0522347;640.7041792;875.6872177;787.9163946;536.6825817;305.957392
351800000;795;193.1780027;110.6065923;170.4534538;165.2018631;105.0906384;50.46944971
350810000;910;212;151;206;180;119;42
350390000;2040;485.5294707;328.6243747;450.8659079;458.0132445;254.3285775;62.63842473
351960103;2284.315871;405.2002011;364.111613;442.0213607;455.6872154;432.350636;184.9448451
350240104;2211.520295;331.187671;313.6143066;293.2404347;484.6916731;506.2072335;282.578976
352810101;5223.847967;892.9772328;1521.969734;1241.736129;858.0782349;413.4220862;295.6645493
352780103;2942.779675;525.8005061;412.6701872;433.5134206;639.7449947;633.734572;297.3159947
350660101;2713.010614;455.8632491;460.1134764;441.4089176;604.9026112;526.0250365;224.6973234
350470101;3412.28982;603.4965533;751.89956;512.0308156;830.7388018;516.4404347;197.6836551
350550101;3418.507378;503.0054306;663.2594822;553.012669;664.3958358;565.4535897;469.3803711
350510101;3967.890971;561.3888027;874.035363;607.5096176;839.5269092;414.6229943;670.8072847
352380101;2576.98814;180.6108079;1279.703184;366.6344082;347.1572896;232.3571808;170.5252702
350510102;4389.545809;693.3665627;1227.234945;810.9135373;836.3680388;501.4752372;320.1874878
352380901;3571.420744;325.4911763;1317.414512;720.783721;559.8727626;365.9435877;281.9149844
352400102;2294.791072;374.3849603;479.1043649;432.3936729;510.6633625;317.8891308;180.3555805
352780102;1720.800462;205.4937166;315.3911254;263.8714751;293.3563301;473.3084408;169.3793737
352381204;2007.469831;340.1571236;477.1826831;344.2884912;325.9417582;318.8654222;201.0343531
352380606;2506.611188;293.288007;1194.190851;452.3411184;281.4816672;132.4288252;152.8807191
352380807;1864.383987;327.7978005;468.2369268;521.3166039;300.974788;168.5284568;77.52941122
352380705;3009.853134;509.1573816;603.2326415;626.2058791;648.2292355;451.1044556;171.9235406
352381207;1817.964107;413.0170248;374.658494;373.0651129;290.0775059;229.675258;137.4707109
352380805;2062.020778;268.8417673;565.6272151;482.7557927;375.4819943;234.4631497;134.8508587
352381206;2098.480437;324.2378829;424.9801635;442.5767234;371.7075096;262.5094955;272.4686622
352380401;1653.146442;177.0963724;628.4961454;247.4009755;234.8025317;173.9905824;191.3598344
352381107;1864.10148;330.9992738;440.6824977;333.925455;297.3318805;325.7131162;135.4492572
352381106;2085.415876;517.949277;401.338808;360.1505405;342.7969227;282.8868442;180.2934831
352380707;1729.1247;298.2299632;297.117389;326.7032809;370.4855856;254.41902;182.1694609
